TreeDepth,PID,PPID,ImageFileName,Offset(V),Threads,Handles,SessionId,Wow64,CreateTime,ExitTime,File output
0,4,0,System,0xda0912ca3340,101,-,N/A,False,2023-04-04 14:07:16.000000 UTC,N/A,Disabled
0,68,4,Registry,0xda0912da6040,4,-,N/A,False,2023-04-04 14:07:13.000000 UTC,N/A,Disabled
0,300,4,smss.exe,0xda091471f040,2,-,N/A,False,2023-04-04 14:07:16.000000 UTC,N/A,Disabled
0,392,384,csrss.exe,0xda0916168540,9,-,0,False,2023-04-04 14:07:21.000000 UTC,N/A,Disabled
0,460,384,wininit.exe,0xda0916639080,2,-,0,False,2023-04-04 14:07:21.000000 UTC,N/A,Disabled
0,468,452,csrss.exe,0xda091663e140,12,-,1,False,2023-04-04 14:07:21.000000 UTC,N/A,Disabled
0,508,460,services.exe,0xda0916666140,8,-,0,False,2023-04-04 14:07:21.000000 UTC,N/A,Disabled
0,524,460,lsass.exe,0xda091666b140,10,-,0,False,2023-04-04 14:07:21.000000 UTC,N/A,Disabled
0,560,452,winlogon.exe,0xda091668c080,5,-,1,False,2023-04-04 14:07:21.000000 UTC,N/A,Disabled
0,624,460,fontdrvhost.ex,0xda09166a3080,5,-,0,False,2023-04-04 14:07:22.000000 UTC,N/A,Disabled
0,644,508,svchost.exe,0xda0916ac7300,23,-,0,False,2023-04-04 14:07:22.000000 UTC,N/A,Disabled
0,708,560,fontdrvhost.ex,0xda0916a812c0,5,-,1,False,2023-04-04 14:07:22.000000 UTC,N/A,Disabled
0,764,508,svchost.exe,0xda0916633080,14,-,0,False,2023-04-04 14:07:22.000000 UTC,N/A,Disabled
0,852,560,dwm.exe,0xda0916d870c0,14,-,1,False,2023-04-04 14:07:22.000000 UTC,N/A,Disabled
0,908,508,svchost.exe,0xda0916a1a380,14,-,0,False,2023-04-04 14:07:22.000000 UTC,N/A,Disabled
0,924,508,svchost.exe,0xda0916a1c380,15,-,0,False,2023-04-04 14:07:22.000000 UTC,N/A,Disabled
0,952,508,svchost.exe,0xda0916a22300,20,-,0,False,2023-04-04 14:07:22.000000 UTC,N/A,Disabled
0,312,508,svchost.exe,0xda0912d130c0,29,-,0,False,2023-04-04 14:07:23.000000 UTC,N/A,Disabled
0,408,508,svchost.exe,0xda0912cd2080,76,-,0,False,2023-04-04 14:07:23.000000 UTC,N/A,Disabled
0,388,508,svchost.exe,0xda0912cc5080,3,-,0,False,2023-04-04 14:07:23.000000 UTC,N/A,Disabled
0,1036,508,svchost.exe,0xda0912ce4080,23,-,0,False,2023-04-04 14:07:23.000000 UTC,N/A,Disabled
0,1168,508,VBoxService.ex,0xda0912ce7080,12,-,0,False,2023-04-04 14:07:23.000000 UTC,N/A,Disabled
0,1320,4,MemCompression,0xda0912ce5040,54,-,N/A,False,2023-04-04 06:07:25.000000 UTC,N/A,Disabled
0,1456,508,svchost.exe,0xda0912cd5080,8,-,0,False,2023-04-04 06:07:25.000000 UTC,N/A,Disabled
0,1576,508,svchost.exe,0xda0916eab080,4,-,0,False,2023-04-04 06:07:25.000000 UTC,N/A,Disabled
0,1584,508,svchost.exe,0xda0916eaa080,7,-,0,False,2023-04-04 06:07:25.000000 UTC,N/A,Disabled
0,1684,508,spoolsv.exe,0xda0916ea6080,7,-,0,False,2023-04-04 06:07:26.000000 UTC,N/A,Disabled
0,1716,508,svchost.exe,0xda0916ea4080,16,-,0,False,2023-04-04 06:07:27.000000 UTC,N/A,Disabled
0,1928,508,svchost.exe,0xda0916e9d0c0,16,-,0,False,2023-04-04 06:07:27.000000 UTC,N/A,Disabled
0,1996,508,ruby.exe,0xda0917c3f080,10,-,0,False,2023-04-04 06:07:27.000000 UTC,N/A,Disabled
0,2012,508,MsMpEng.exe,0xda0917c3e080,0,-,0,False,2023-04-04 06:07:27.000000 UTC,2023-04-04 06:23:52.000000 UTC,Disabled
0,2024,508,wlms.exe,0xda0917c3d080,3,-,0,False,2023-04-04 06:07:27.000000 UTC,N/A,Disabled
0,2316,508,svchost.exe,0xda09168af380,29,-,0,False,2023-04-04 06:07:29.000000 UTC,N/A,Disabled
0,3688,508,svchost.exe,0xda09196c4080,8,-,0,False,2023-04-04 06:07:45.000000 UTC,N/A,Disabled
0,3752,508,svchost.exe,0xda09196ba0c0,15,-,0,False,2023-04-04 06:08:22.000000 UTC,N/A,Disabled
0,872,408,sihost.exe,0xda091924a080,9,-,1,False,2023-04-04 06:08:40.000000 UTC,N/A,Disabled
0,1200,508,svchost.exe,0xda091956a080,11,-,1,False,2023-04-04 06:08:40.000000 UTC,N/A,Disabled
0,2960,408,taskhostw.exe,0xda0916758080,11,-,1,False,2023-04-04 06:08:40.000000 UTC,N/A,Disabled
0,3652,952,ctfmon.exe,0xda09164ad080,8,-,1,False,2023-04-04 06:08:41.000000 UTC,N/A,Disabled
0,3596,560,userinit.exe,0xda0914508440,0,-,1,False,2023-04-04 06:08:41.000000 UTC,2023-04-04 06:09:16.000000 UTC,Disabled
0,2452,3596,explorer.exe,0xda091610f440,92,-,1,False,2023-04-04 06:08:41.000000 UTC,N/A,Disabled
0,4000,508,svchost.exe,0xda0916335400,8,-,1,False,2023-04-04 06:08:42.000000 UTC,N/A,Disabled
0,1556,644,ShellExperienc,0xda091639c080,17,-,1,False,2023-04-04 06:08:53.000000 UTC,N/A,Disabled
0,3364,644,SearchUI.exe,0xda0914efa180,64,-,1,False,2023-04-04 06:08:53.000000 UTC,N/A,Disabled
0,1100,644,RuntimeBroker.,0xda091634b400,13,-,1,False,2023-04-04 06:08:54.000000 UTC,N/A,Disabled
0,4208,644,ApplicationFra,0xda09144ec400,5,-,1,False,2023-04-04 06:08:55.000000 UTC,N/A,Disabled
0,4248,644,MicrosoftEdge.,0xda09144f0080,0,-,1,False,2023-04-04 06:08:55.000000 UTC,2023-04-04 06:15:45.000000 UTC,Disabled
0,4544,508,svchost.exe,0xda0916504380,3,-,0,False,2023-04-04 06:08:55.000000 UTC,N/A,Disabled
0,4748,644,RuntimeBroker.,0xda0916228400,4,-,1,False,2023-04-04 06:08:56.000000 UTC,N/A,Disabled
0,5092,644,RuntimeBroker.,0xda0914549400,7,-,1,False,2023-04-04 06:08:58.000000 UTC,N/A,Disabled
0,4668,508,SearchIndexer.,0xda09146c2080,17,-,0,False,2023-04-04 06:08:58.000000 UTC,N/A,Disabled
0,5624,644,smartscreen.ex,0xda0914e84080,12,-,1,False,2023-04-04 06:09:07.000000 UTC,N/A,Disabled
0,5664,2452,SecurityHealth,0xda0914ede0c0,0,-,1,False,2023-04-04 06:09:07.000000 UTC,2023-04-04 06:09:07.000000 UTC,Disabled
0,5744,2452,VBoxTray.exe,0xda0914fd4540,11,-,1,False,2023-04-04 06:09:08.000000 UTC,N/A,Disabled
