TreeDepth,PID,Process,Args
0,4,System,-
0,96,Registry,-
0,408,smss.exe,\\SystemRoot\\System32\\smss.exe
0,588,csrss.exe,"%SystemRoot%\\system32\\csrss.exe ObjectDirectory=\\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16"
0,660,wininit.exe,-
0,804,services.exe,C:\\Windows\\system32\\services.exe
0,828,lsass.exe,C:\\Windows\\system32\\lsass.exe
0,944,svchost.exe,C:\\Windows\\system32\\svchost.exe -k DcomLaunch -p
0,972,fontdrvhost.ex,"""fontdrvhost.exe"""
0,436,svchost.exe,C:\\Windows\\system32\\svchost.exe -k RPCSS -p
0,672,svchost.exe,C:\\Windows\\system32\\svchost.exe -k DcomLaunch -p -s LSM
0,800,sppsvc.exe,-
0,1068,svchost.exe,C:\\Windows\\system32\\svchost.exe -k DcomLaunch -p -s DeviceInstall
0,1136,svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalServiceNoNetwork -p
0,1216,svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalService -p -s DispBrokerDesktopSvc
0,1404,svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalSystemNetworkRestricted -p -s AudioEndpointBuilder
0,1460,svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalServiceNetworkRestricted -p
0,1524,svchost.exe,C:\\Windows\\system32\\svchost.exe -k appmodel -p -s StateRepository
0,1612,svchost.exe,-
0,1636,svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalService -p -s nsi
0,1696,svchost.exe,C:\\Windows\\System32\\svchost.exe -k netprofm -p -s netprofm
0,1852,svchost.exe,C:\\Windows\\System32\\svchost.exe -k netsvcs -p -s Themes
0,1860,svchost.exe,C:\\Windows\\system32\\svchost.exe -k NetworkService -p
0,1868,svchost.exe,C:\\Windows\\system32\\svchost.exe -k netsvcs -p -s Schedule
0,1876,svchost.exe,C:\\Windows\\system32\\svchost.exe -k NetworkService -p
0,1892,svchost.exe,C:\\Windows\\system32\\svchost.exe -k UserProfileService -p -s ProfSvc
0,1960,svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalServiceNetworkRestricted -p -s lmhosts
0,1996,svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalServiceNoNetworkFirewall -p
0,1732,svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalServiceNetworkRestricted -p -s AppIDSvc
0,2084,svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalSystemNetworkRestricted -p -s NcbService
0,2300,svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalServiceNetworkRestricted -p -s Dhcp
0,2332,svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalServiceNetworkRestricted -p -s TimeBrokerSvc
0,2520,svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalServiceNetworkRestricted -p -s WinHttpAutoProxySvc
0,2596,svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalServiceNetworkRestricted -p -s EventLog
0,2628,svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalService -p -s EventSystem
0,2636,svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalSystemNetworkRestricted -p -s SysMain
0,2664,svchost.exe,C:\\Windows\\system32\\svchost.exe -k WebThreatDefense -p -s webthreatdefsvc
0,2692,svchost.exe,C:\\Windows\\system32\\svchost.exe -k netsvcs -p -s UserManager
0,2844,MemCompression,-
0,2860,svchost.exe,C:\\Windows\\system32\\svchost.exe -k netsvcs -p -s SENS
0,2880,svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalService -p -s FontCache
0,2904,svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalSystemNetworkRestricted -p -s TextInputManagementService
0,2968,svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalServiceNetworkRestricted -p
0,2996,svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalServiceNetworkRestricted -p
0,2016,svchost.exe,C:\\Windows\\System32\\svchost.exe -k netsvcs -p -s ShellHWDetection
0,2992,spoolsv.exe,C:\\Windows\\System32\\spoolsv.exe
0,3176,svchost.exe,C:\\Windows\\System32\\svchost.exe -k NetworkService -p -s LanmanWorkstation
0,3248,svchost.exe,C:\\Windows\\System32\\svchost.exe -k utcsvc -p
0,3256,svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalServiceNoNetwork -p -s DPS
0,3272,svchost.exe,C:\\Windows\\System32\\svchost.exe -k NetSvcs -p -s iphlpsvc
0,3328,svchost.exe,C:\\Windows\\system32\\svchost.exe -k netsvcs -p -s LanmanServer
0,3344,svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalSystemNetworkRestricted -p -s TrkWks
0,3372,MsMpEng.exe,"""C:\\Program Files\\Windows Defender\\MsMpEng.exe"""
