TreeDepth,PID,Process,Args
0,4,System,-
0,100,Registry,-
0,432,smss.exe,-
0,636,csrss.exe,"%SystemRoot%\\system32\\csrss.exe ObjectDirectory=\\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16"
0,704,wininit.exe,wininit.exe
0,712,csrss.exe,"%SystemRoot%\\system32\\csrss.exe ObjectDirectory=\\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16"
0,768,winlogon.exe,winlogon.exe
0,816,services.exe,C:\\WINDOWS\\system32\\services.exe
0,856,lsass.exe,C:\\WINDOWS\\system32\\lsass.exe
0,960,fontdrvhost.ex,"""fontdrvhost.exe"""
0,968,fontdrvhost.ex,-
0,544,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k DcomLaunch -p
0,640,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k RPCSS -p
0,916,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k DcomLaunch -p -s LSM
0,1060,svchost.exe,-
0,1068,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k NetworkService -p
0,1100,svchost.exe,-
0,1148,dwm.exe,"""dwm.exe"""
0,1216,svchost.exe,-
0,1232,svchost.exe,-
0,1272,svchost.exe,-
0,1380,svchost.exe,-
0,1444,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k LocalService -p -s nsi
0,1528,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k netsvcs -p -s Schedule
0,1560,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k UserProfileService -p -s ProfSvc
0,1568,svchost.exe,-
0,1588,svchost.exe,C:\\WINDOWS\\System32\\svchost.exe -k netprofm -p -s netprofm
0,1692,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k netsvcs -p -s UserManager
0,2016,svchost.exe,C:\\WINDOWS\\system32\\svchost.exe -k NetworkService -p
0,1036,VBoxService.ex,C:\\WINDOWS\\System32\\VBoxService.exe
0,1864,svchost.exe,C:\\WINDOWS\\System32\\svchost.exe -k LocalServiceNetworkRestricted -p -s EventLog
0,2144,svchost.exe,-
0,2160,svchost.exe,-
