TreeDepth,PID,Process,Args
0,4,System,-
0,100,Registry,-
0,332,smss.exe,\\SystemRoot\\System32\\smss.exe
0,432,csrss.exe,"%SystemRoot%\\system32\\csrss.exe ObjectDirectory=\\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16"
0,508,wininit.exe,wininit.exe
0,528,csrss.exe,"%SystemRoot%\\system32\\csrss.exe ObjectDirectory=\\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16"
0,608,winlogon.exe,winlogon.exe
0,652,services.exe,C:\\Windows\\system32\\services.exe
0,676,lsass.exe,C:\\Windows\\system32\\lsass.exe
0,780,svchost.exe,C:\\Windows\\system32\\svchost.exe -k DcomLaunch -p
0,796,fontdrvhost.ex,"""fontdrvhost.exe"""
0,804,fontdrvhost.ex,"""fontdrvhost.exe"""
0,900,svchost.exe,C:\\Windows\\system32\\svchost.exe -k RPCSS -p
0,960,svchost.exe,C:\\Windows\\system32\\svchost.exe -k DcomLaunch -p -s LSM
0,64,dwm.exe,"""dwm.exe"""
0,1036,svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalSystemNetworkRestricted -p -s NcbService
0,1068,svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalServiceNoNetwork -p
0,1076,svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalServiceNetworkRestricted -p -s lmhosts
0,1084,svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalServiceNetworkRestricted -p -s TimeBrokerSvc
0,1100,svchost.exe,C:\\Windows\\system32\\svchost.exe -k netsvcs -p -s Schedule
0,1200,svchost.exe,C:\\Windows\\system32\\svchost.exe -k netsvcs -p -s ProfSvc
0,1248,svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalServiceNetworkRestricted -p -s EventLog
0,1288,svchost.exe,C:\\Windows\\system32\\svchost.exe -k netsvcs -p -s UserManager
0,1380,svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalService -p -s nsi
0,1456,svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalService -p -s DispBrokerDesktopSvc
