TreeDepth,PID,Process,Args
0,4,System,-
0,68,Registry,-
0,288,smss.exe,\\SystemRoot\\System32\\smss.exe
0,380,csrss.exe,"%SystemRoot%\\system32\\csrss.exe ObjectDirectory=\\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16"
0,448,wininit.exe,wininit.exe
0,456,csrss.exe,"%SystemRoot%\\system32\\csrss.exe ObjectDirectory=\\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16"
0,516,winlogon.exe,winlogon.exe
0,540,services.exe,C:\\Windows\\system32\\services.exe
0,552,lsass.exe,C:\\Windows\\system32\\lsass.exe
0,656,svchost.exe,C:\\Windows\\system32\\svchost.exe -k DcomLaunch -p
0,664,fontdrvhost.ex,-
0,672,fontdrvhost.ex,-
0,764,svchost.exe,C:\\Windows\\system32\\svchost.exe -k RPCSS -p
0,848,dwm.exe,"""dwm.exe"""
0,940,svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalServiceNoNetwork -p
0,964,svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalServiceNetworkRestricted -p
0,992,svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalSystemNetworkRestricted -p
0,440,svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalService -p
0,756,svchost.exe,C:\\Windows\\System32\\svchost.exe -k NetworkService -p
0,804,svchost.exe,C:\\Windows\\system32\\svchost.exe -k netsvcs -p
0,1200,VBoxService.ex,C:\\Windows\\System32\\VBoxService.exe
0,1332,MemCompression,-
0,1424,svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalServiceNetworkRestricted -p
0,1504,svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalServiceNetworkRestricted -p
0,1512,svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalServiceNetworkRestricted -p
0,1620,svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalService -p
0,1644,spoolsv.exe,-
0,1676,svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalServiceNoNetworkFirewall -p
0,1808,svchost.exe,C:\\Windows\\system32\\svchost.exe -k NetworkServiceNetworkRestricted -p
0,1880,svchost.exe,C:\\Windows\\System32\\svchost.exe -k utcsvc -p
0,1972,wlms.exe,C:\\Windows\\system32\\wlms\\wlms.exe
0,2012,MsMpEng.exe,"""C:\\ProgramData\\Microsoft\\Windows Defender\\platform\\4.18.2302.7-0\\MsMpEng.exe"""
0,2072,NisSrv.exe,"""C:\\ProgramData\\Microsoft\\Windows Defender\\platform\\4.18.2302.7-0\\NisSrv.exe"""
0,2148,svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalServiceAndNoImpersonation -p
0,2612,svchost.exe,C:\\Windows\\system32\\svchost.exe -k appmodel -p
0,2824,sihost.exe,sihost.exe
0,2880,svchost.exe,C:\\Windows\\system32\\svchost.exe -k UnistackSvcGroup
0,2932,taskhostw.exe,taskhostw.exe {222A245B-E637-4AE9-A93F-A59CA119A75E}
0,1168,ctfmon.exe,"""ctfmon.exe"""
0,1960,userinit.exe,-
0,2772,explorer.exe,C:\\Windows\\Explorer.EXE
0,3220,svchost.exe,C:\\Windows\\system32\\svchost.exe -k ClipboardSvcGroup -p
0,3300,SearchIndexer.,-
0,3500,ShellExperienc,-
0,3616,SearchUI.exe,-
0,3704,RuntimeBroker.,C:\\Windows\\System32\\RuntimeBroker.exe -Embedding
0,3800,RuntimeBroker.,C:\\Windows\\System32\\RuntimeBroker.exe -Embedding
0,3900,ApplicationFra,C:\\Windows\\system32\\ApplicationFrameHost.exe -Embedding
0,3912,MicrosoftEdge.,-
0,3940,YourPhone.exe,-
0,4072,RuntimeBroker.,C:\\Windows\\System32\\RuntimeBroker.exe -Embedding
0,3108,svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalServiceNetworkRestricted
0,4696,GoogleCrashHan,-
0,4724,GoogleCrashHan,-
0,4620,RuntimeBroker.,C:\\Windows\\System32\\RuntimeBroker.exe -Embedding
0,4596,RuntimeBroker.,C:\\Windows\\System32\\RuntimeBroker.exe -Embedding
0,3948,SecurityHealth,-
0,4968,SecurityHealth,C:\\Windows\\system32\\SecurityHealthService.exe
0,5260,VBoxTray.exe,"""C:\\Windows\\System32\\VBoxTray.exe"" "
0,5336,OneDrive.exe,"""C:\\Users\\IEUser\\AppData\\Local\\Microsoft\\OneDrive\\OneDrive.exe"" /background"
0,5492,msedgewebview2,-
0,5256,dllhost.exe,C:\\Windows\\system32\\DllHost.exe /Processid:{973D20D7-562D-44B9-B70B-5A0F49CCDF3F}
0,6496,MicrosoftEdge.,-
0,7128,chrome.exe,"""C:\\Program Files\\Google\\Chrome\\Application\\chrome.exe"" "
0,4036,chrome.exe,-
0,6044,chrome.exe,"""C:\\Program Files\\Google\\Chrome\\Application\\chrome.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-GB --service-sandbox-type=none --mojo-platform-channel-handle=1944 --field-trial-handle=2080,i,12188397850624282729,4951324503703038388,131072 /prefetch:8"
0,5172,chrome.exe,-
0,6084,chrome.exe,-
0,7076,SgrmBroker.exe,C:\\Windows\\system32\\SgrmBroker.exe
0,4300,uhssvc.exe,"""C:\\Program Files\\Microsoft Update Health Tools\\uhssvc.exe"""
0,6268,svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalServiceNetworkRestricted -p
0,2752,SystemSettings,-
0,4608,Microsoft.Phot,-
0,536,RuntimeBroker.,C:\\Windows\\System32\\RuntimeBroker.exe -Embedding
0,2700,WindowsInterna,-
0,2392,chrome.exe,-
0,3060,MicrosoftEdge.,-
0,4684,browser_broker,-
0,6980,Windows.WARP.J,-
0,2544,MicrosoftEdgeS,-
0,7080,MicrosoftEdgeC,-
0,6900,Windows.WARP.J,-
0,856,SystemSettings,-
0,2448,dllhost.exe,C:\\Windows\\system32\\DllHost.exe /Processid:{7E55A26D-EF95-4A45-9F55-21E52ADF9887}
0,3180,InfinityCrypt.,"""C:\\Users\\IEUser\\Downloads\\InfinityCrypt.exe"" "
0,3100,SearchIndexer.,C:\\Windows\\system32\\SearchIndexer.exe /Embedding
0,3772,svchost.exe,-
0,1604,taskhostw.exe,taskhostw.exe
0,6312,chrome.exe,"""C:\\Program Files\\Google\\Chrome\\Application\\chrome.exe"" --type=renderer --disable-gpu-compositing --lang=en-GB --device-scale-factor=1 --num-raster-threads=1 --renderer-client-id=70 --time-ticks-at-unix-epoch=-1680340291343743 --launch-time-ticks=125310372202 --mojo-platform-channel-handle=5776 --field-trial-handle=2080,i,12188397850624282729,4951324503703038388,131072 /prefetch:1"
0,84,chrome.exe,"""C:\\Program Files\\Google\\Chrome\\Application\\chrome.exe"" --type=renderer --disable-gpu-compositing --lang=en-GB --device-scale-factor=1 --num-raster-threads=1 --renderer-client-id=73 --time-ticks-at-unix-epoch=-1680340291343743 --launch-time-ticks=125795168100 --mojo-platform-channel-handle=5628 --field-trial-handle=2080,i,12188397850624282729,4951324503703038388,131072 /prefetch:1"
0,5880,chrome.exe,"""C:\\Program Files\\Google\\Chrome\\Application\\chrome.exe"" --type=renderer --disable-gpu-compositing --lang=en-GB --device-scale-factor=1 --num-raster-threads=1 --renderer-client-id=76 --time-ticks-at-unix-epoch=-1680340291343743 --launch-time-ticks=129483385128 --mojo-platform-channel-handle=5524 --field-trial-handle=2080,i,12188397850624282729,4951324503703038388,131072 /prefetch:1"
0,5892,SearchProtocol,"""C:\\Windows\\system32\\SearchProtocolHost.exe"" Global\\UsGthrFltPipeMssGthrPipe79_ Global\\UsGthrCtrlFltPipeMssGthrPipe79 1 -2147483646 ""Software\\Microsoft\\Windows Search"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT; MS Search 4.0 Robot)"" ""C:\\ProgramData\\Microsoft\\Search\\Data\\Temp\\usgthrsvc"" ""DownLevelDaemon"" "
0,2032,chrome.exe,"""C:\\Program Files\\Google\\Chrome\\Application\\chrome.exe"" --type=renderer --disable-gpu-compositing --lang=en-GB --device-scale-factor=1 --num-raster-threads=1 --renderer-client-id=79 --time-ticks-at-unix-epoch=-1680340291343743 --launch-time-ticks=129487275101 --mojo-platform-channel-handle=5660 --field-trial-handle=2080,i,12188397850624282729,4951324503703038388,131072 /prefetch:1"
0,1720,svchost.exe,C:\\Windows\\System32\\svchost.exe -k wsappx -p
0,4992,cmd.exe,"""C:\\Windows\\system32\\cmd.exe"" "
0,2688,conhost.exe,\\??\\C:\\Windows\\system32\\conhost.exe 0x4
0,2484,SearchFilterHo,"""C:\\Windows\\system32\\SearchFilterHost.exe"" 0 772 776 784 8192 780 "
0,6444,winpmem_mini_x,winpmem_mini_x64_rc2.exe  WithVirus.raw
0,2964,svchost.exe,-
0,6448,dllhost.exe,-

