TreeDepth,PID,PPID,ImageFileName,Offset(V),Threads,Handles,SessionId,Wow64,CreateTime,ExitTime,File output
0,4,0,System,0xa50731e6b040,92,-,N/A,False,2023-04-01 17:11:32.000000 UTC,N/A,Disabled
0,756,540,svchost.exe,0xa50731eef080,20,-,0,False,2023-04-01 17:11:50.000000 UTC,N/A,Disabled
0,804,540,svchost.exe,0xa50731ef3080,70,-,0,False,2023-04-01 17:11:50.000000 UTC,N/A,Disabled
0,440,540,svchost.exe,0xa50731f130c0,24,-,0,False,2023-04-01 17:11:49.000000 UTC,N/A,Disabled
0,68,4,Registry,0xa50731f94040,4,-,N/A,False,2023-04-01 17:11:30.000000 UTC,N/A,Disabled
0,1604,804,taskhostw.exe,0xa50732709080,4,-,1,False,2023-04-01 20:01:56.000000 UTC,N/A,Disabled
0,2752,656,SystemSettings,0xa50732757540,20,-,1,False,2023-04-01 09:14:19.000000 UTC,N/A,Disabled
0,3300,540,SearchIndexer.,0xa507327e9300,0,-,0,False,2023-04-01 09:12:54.000000 UTC,2023-04-01 09:51:02.000000 UTC,Disabled
0,6900,3108,Windows.WARP.J,0xa5073286a080,4,-,0,False,2023-04-01 09:29:33.000000 UTC,N/A,Disabled
0,4992,2772,cmd.exe,0xa50732873080,2,-,1,False,2023-04-02 21:10:11.000000 UTC,N/A,Disabled
0,2880,540,svchost.exe,0xa507328fd3c0,10,-,1,False,2023-04-01 09:12:51.000000 UTC,N/A,Disabled
0,2700,656,WindowsInterna,0xa50732945540,47,-,1,False,2023-04-01 09:24:06.000000 UTC,N/A,Disabled
0,3108,540,svchost.exe,0xa5073298b380,2,-,0,False,2023-04-01 09:12:57.000000 UTC,N/A,Disabled
0,1960,516,userinit.exe,0xa50732a2d440,0,-,1,False,2023-04-01 09:12:52.000000 UTC,2023-04-01 09:13:22.000000 UTC,Disabled
0,2772,1960,explorer.exe,0xa50732acf440,118,-,1,False,2023-04-01 09:12:52.000000 UTC,N/A,Disabled
0,3500,656,ShellExperienc,0xa50732ada080,27,-,1,False,2023-04-01 09:12:55.000000 UTC,N/A,Disabled
0,1720,540,svchost.exe,0xa50732b30080,3,-,0,False,2023-04-02 21:10:08.000000 UTC,N/A,Disabled
0,5892,3100,SearchProtocol,0xa50732b3e080,6,-,0,False,2023-04-02 21:09:30.000000 UTC,N/A,Disabled
0,1424,540,svchost.exe,0xa50732bd0380,6,-,0,False,2023-04-01 09:11:51.000000 UTC,N/A,Disabled
0,288,4,smss.exe,0xa50732c56040,2,-,N/A,False,2023-04-01 17:11:32.000000 UTC,N/A,Disabled
0,3900,656,ApplicationFra,0xa50732c86400,6,-,1,False,2023-04-01 09:12:56.000000 UTC,N/A,Disabled
0,3940,656,YourPhone.exe,0xa50732c88240,17,-,1,False,2023-04-01 09:12:57.000000 UTC,N/A,Disabled
0,1504,540,svchost.exe,0xa50732d73380,4,-,0,False,2023-04-01 09:11:51.000000 UTC,N/A,Disabled
0,1512,540,svchost.exe,0xa50732d75080,4,-,0,False,2023-04-01 09:11:51.000000 UTC,N/A,Disabled
0,4036,7128,chrome.exe,0xa50732e54080,7,-,1,False,2023-04-01 09:13:37.000000 UTC,N/A,Disabled
0,4724,2956,GoogleCrashHan,0xa50732fca2c0,3,-,0,False,2023-04-01 09:13:02.000000 UTC,N/A,Disabled
0,3220,540,svchost.exe,0xa507350dc080,7,-,1,False,2023-04-01 09:12:54.000000 UTC,N/A,Disabled
0,6084,7128,chrome.exe,0xa50735249080,11,-,1,False,2023-04-01 09:13:52.000000 UTC,N/A,Disabled
0,3180,2772,InfinityCrypt.,0xa507352a4080,6,-,1,True,2023-04-01 09:35:05.000000 UTC,N/A,Disabled
0,1620,540,svchost.exe,0xa507354bb080,3,-,0,False,2023-04-01 09:11:52.000000 UTC,N/A,Disabled
0,2964,2012,svchost.exe,0xa507354de540,1,-,0,False,2023-04-02 21:12:07.000000 UTC,N/A,Disabled
0,7080,656,MicrosoftEdgeC,0xa507354e6080,39,-,1,False,2023-04-01 09:29:33.000000 UTC,N/A,Disabled
