TreeDepth,PID,PPID,ImageFileName,Offset(V),Threads,Handles,SessionId,Wow64,CreateTime,ExitTime,File output
0,3136,3244,SrTasks.exe,0x6d0f7100,0,-,0,False,2023-03-29 00:19:16.000000 UTC,2023-03-29 00:19:27.000000 UTC,Disabled
0,3612,564,dllhost.exe,0x794de900,0,-,1,False,2023-03-29 00:19:17.000000 UTC,2023-03-29 00:19:22.000000 UTC,Disabled
0,4032,1480,chrome.exe,0x119e99900,13,-,1,False,2023-03-29 00:15:19.000000 UTC,N/A,Disabled
0,1176,1480,chrome.exe,0x119ec5780,11,-,1,False,2023-03-29 00:20:16.000000 UTC,N/A,Disabled
0,3692,564,SettingSyncHos,0x119ed5140,7,-,1,False,2023-03-29 00:12:36.000000 UTC,N/A,Disabled
0,3848,484,NisSrv.exe,0x119ee0900,4,-,0,False,2023-03-29 00:13:57.000000 UTC,N/A,Disabled
0,2748,484,svchost.exe,0x119f2b800,3,-,0,False,2023-03-29 00:19:11.000000 UTC,N/A,Disabled
0,3812,1728,conhost.exe,0x11a004900,0,-,1,False,2023-03-29 00:20:39.000000 UTC,2023-03-29 00:20:43.000000 UTC,Disabled
0,1536,1480,notepad.exe,0x11a258580,0,-,1,False,2023-03-29 00:15:58.000000 UTC,2023-03-29 00:21:40.000000 UTC,Disabled
0,1724,1480,chrome.exe,0x11a270840,0,-,1,False,2023-03-29 00:22:12.000000 UTC,2023-03-29 00:22:13.000000 UTC,Disabled
0,1472,2564,SearchProtocol,0x11a2f4900,0,-,0,False,2023-03-29 00:14:30.000000 UTC,2023-03-29 00:21:39.000000 UTC,Disabled
0,2756,1728,3_moving_block,0x11a2ff680,0,-,1,False,2023-03-29 00:20:40.000000 UTC,2023-03-29 00:20:43.000000 UTC,Disabled
0,3244,484,msiexec.exe,0x11a33c6c0,6,-,0,False,2023-03-29 00:19:05.000000 UTC,N/A,Disabled
0,2212,484,VSSVC.exe,0x11a3d82c0,6,-,0,False,2023-03-29 00:19:11.000000 UTC,N/A,Disabled
0,664,2900,software_repor,0x11a400080,0,-,1,False,2023-03-29 00:18:52.000000 UTC,2023-03-29 00:19:28.000000 UTC,Disabled
0,1960,484,wmpnetwk.exe,0x11a404900,7,-,0,False,2023-03-29 00:13:29.000000 UTC,N/A,Disabled
0,2564,484,SearchIndexer.,0x11a493900,15,-,0,False,2023-03-29 00:11:39.000000 UTC,N/A,Disabled
0,3348,564,WSHost.exe,0x11a499900,11,-,1,False,2023-03-29 00:12:17.000000 UTC,N/A,Disabled
0,2552,1480,chrome.exe,0x11a4a5900,0,-,1,False,2023-03-29 00:21:51.000000 UTC,2023-03-29 00:21:56.000000 UTC,Disabled
0,2388,1928,RestoreOptIn.e,0x11a4c9300,0,-,1,False,2023-03-29 00:11:39.000000 UTC,2023-03-29 00:11:40.000000 UTC,Disabled
0,3664,564,dllhost.exe,0x11a4db900,0,-,0,False,2023-03-29 00:20:39.000000 UTC,2023-03-29 00:20:44.000000 UTC,Disabled
0,1864,768,taskeng.exe,0x11a4df080,2,-,0,False,2023-03-29 00:19:09.000000 UTC,N/A,Disabled
0,1728,1928,3_moving_block,0x11a578600,0,-,1,False,2023-03-29 00:20:39.000000 UTC,2023-03-29 00:20:43.000000 UTC,Disabled
0,3580,484,sppsvc.exe,0x11a6074c0,0,-,0,False,2023-03-29 00:20:53.000000 UTC,2023-03-29 00:21:57.000000 UTC,Disabled
0,1748,484,svchost.exe,0x11a634180,7,-,0,False,2023-03-29 00:11:27.000000 UTC,N/A,Disabled
