TreeDepth,PID,Process,Args
0,4,System,-
0,248,smss.exe,\\SystemRoot\\System32\\smss.exe
0,320,csrss.exe,"%SystemRoot%\\system32\\csrss.exe ObjectDirectory=\\Windows SharedSection=1024,12288,512 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=winsrv:ConServerDllInitialization,2 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16"
0,368,wininit.exe,wininit.exe
0,376,csrss.exe,"%SystemRoot%\\system32\\csrss.exe ObjectDirectory=\\Windows SharedSection=1024,12288,512 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=winsrv:ConServerDllInitialization,2 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16"
0,408,winlogon.exe,winlogon.exe
0,464,services.exe,C:\\Windows\\system32\\services.exe
0,472,lsass.exe,C:\\Windows\\system32\\lsass.exe
0,480,lsm.exe,C:\\Windows\\system32\\lsm.exe
0,580,svchost.exe,C:\\Windows\\system32\\svchost.exe -k DcomLaunch
0,660,svchost.exe,C:\\Windows\\system32\\svchost.exe -k RPCSS
0,756,svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalServiceNetworkRestricted
0,792,svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalSystemNetworkRestricted
0,820,svchost.exe,C:\\Windows\\system32\\svchost.exe -k netsvcs
0,948,svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalService
0,1036,svchost.exe,C:\\Windows\\system32\\svchost.exe -k NetworkService
0,1224,spoolsv.exe,C:\\Windows\\System32\\spoolsv.exe
0,1264,svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalServiceNoNetwork
0,1372,svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalServiceAndNoImpersonation
0,2040,taskhost.exe,"""taskhost.exe"""
0,476,dwm.exe,"""C:\\Windows\\system32\\Dwm.exe"""
0,816,explorer.exe,C:\\Windows\\Explorer.EXE
0,1768,regsvr32.exe,-
0,1880,SearchIndexer.,C:\\Windows\\system32\\SearchIndexer.exe /Embedding
0,888,wmpnetwk.exe,"""C:\\Program Files\\Windows Media Player\\wmpnetwk.exe"""
0,3828,sppsvc.exe,C:\\Windows\\system32\\sppsvc.exe
0,3868,svchost.exe,C:\\Windows\\System32\\svchost.exe -k secsvcs
0,200,GoogleCrashHan,"""C:\\Program Files\\Google\\Update\\1.3.36.152\\GoogleCrashHandler.exe"""
0,2344,chrome.exe,"""C:\\Program Files\\Google\\Chrome\\Application\\chrome.exe"" --from-installer"
