TreeDepth,PID,PPID,ImageFileName,Offset(V),Threads,Handles,SessionId,Wow64,CreateTime,ExitTime,File output
0,3696,2344,chrome.exe,0x127efd40,11,0,1,False,2023-03-28 22:03:34.000000 UTC,N/A,Disabled
0,3828,464,sppsvc.exe,0x1ee731c8,7,150,0,False,2023-03-28 21:52:21.000000 UTC,N/A,Disabled
0,888,464,wmpnetwk.exe,0x200cf030,9,214,0,False,2023-03-28 21:50:55.000000 UTC,N/A,Disabled
0,476,792,dwm.exe,0x2454b9d8,3,74,1,False,2023-03-28 21:50:42.000000 UTC,N/A,Disabled
0,816,528,explorer.exe,0x2456b878,38,1181,1,False,2023-03-28 21:50:42.000000 UTC,N/A,Disabled
0,2344,3656,chrome.exe,0x265a95b8,34,1127,1,False,2023-03-28 21:53:05.000000 UTC,N/A,Disabled
0,660,464,svchost.exe,0x266abbd0,10,273,0,False,2023-03-28 21:50:19.000000 UTC,N/A,Disabled
0,756,464,svchost.exe,0x267f8868,23,511,0,False,2023-03-28 21:50:19.000000 UTC,N/A,Disabled
0,1224,464,spoolsv.exe,0x268a2c28,12,284,0,False,2023-03-28 21:50:19.000000 UTC,N/A,Disabled
0,792,464,svchost.exe,0x26959a20,12,319,0,False,2023-03-28 21:50:19.000000 UTC,N/A,Disabled
0,820,464,svchost.exe,0x2695a7b0,31,1155,0,False,2023-03-28 21:50:19.000000 UTC,N/A,Disabled
0,948,464,svchost.exe,0x26b571d8,20,532,0,False,2023-03-28 21:50:19.000000 UTC,N/A,Disabled
0,1036,464,svchost.exe,0x26ca58d8,20,495,0,False,2023-03-28 21:50:19.000000 UTC,N/A,Disabled
0,3748,2344,chrome.exe,0x26f46030,8,95,1,False,2023-03-28 21:53:05.000000 UTC,N/A,Disabled
0,1768,816,regsvr32.exe,0x271ba030,0,-,1,False,2023-03-28 21:50:42.000000 UTC,2023-03-28 21:50:42.000000 UTC,Disabled
0,2996,1880,SearchFilterHo,0x27373030,5,2229688432,0,False,2023-03-28 22:03:59.000000 UTC,N/A,Disabled
0,1880,464,SearchIndexer.,0x275306c8,17,687,0,False,2023-03-28 21:50:48.000000 UTC,N/A,Disabled
0,2916,2344,chrome.exe,0x277f5d40,14,227,1,False,2023-03-28 21:54:11.000000 UTC,N/A,Disabled
0,1372,464,svchost.exe,0x288260d8,18,289,0,False,2023-03-28 21:50:20.000000 UTC,N/A,Disabled
0,3768,2344,chrome.exe,0x288b3bd0,14,6225972,1,False,2023-03-28 22:03:31.000000 UTC,N/A,Disabled
0,2040,464,taskhost.exe,0x2d5fe980,8,193,1,False,2023-03-28 21:50:41.000000 UTC,N/A,Disabled
0,368,304,wininit.exe,0x57314980,3,82,0,False,2023-03-28 21:50:18.000000 UTC,N/A,Disabled
0,376,360,csrss.exe,0x586146f0,9,408,1,False,2023-03-28 21:50:18.000000 UTC,N/A,Disabled
0,408,360,winlogon.exe,0x59816d40,3,116,1,False,2023-03-28 21:50:18.000000 UTC,N/A,Disabled
0,320,304,csrss.exe,0x5b9202f8,9,390,0,False,2023-03-28 21:50:18.000000 UTC,N/A,Disabled
0,464,368,services.exe,0x5bf17030,11,202,0,False,2023-03-28 21:50:19.000000 UTC,N/A,Disabled
0,1112,2344,chrome.exe,0x5c1a3d40,6,842018872,1,False,2023-03-28 22:00:21.000000 UTC,N/A,Disabled
0,472,368,lsass.exe,0x5c5173f8,11,595,0,False,2023-03-28 21:50:19.000000 UTC,N/A,Disabled
0,580,464,svchost.exe,0x5c5987d0,14,362,0,False,2023-03-28 21:50:19.000000 UTC,N/A,Disabled
0,480,368,lsm.exe,0x5c717608,10,145,0,False,2023-03-28 21:50:19.000000 UTC,N/A,Disabled
0,248,4,smss.exe,0x5ca18b80,2,33,N/A,False,2023-03-28 21:50:18.000000 UTC,N/A,Disabled
0,924,2344,chrome.exe,0x5ddf8030,15,7274566,1,False,2023-03-28 22:01:34.000000 UTC,N/A,Disabled
0,2988,2344,chrome.exe,0x5eca4030,16,6029413,1,False,2023-03-28 22:00:32.000000 UTC,N/A,Disabled
0,3424,464,VSSVC.exe,0x5ee24030,17,42825,0,False,2023-03-28 22:04:57.000000 UTC,N/A,Disabled
0,3712,2344,chrome.exe,0x5eea4a58,14,2602312840,1,False,2023-03-28 22:03:17.000000 UTC,N/A,Disabled
0,2724,2344,chrome.exe,0x5f3a4d40,15,0,1,False,2023-03-28 22:03:20.000000 UTC,N/A,Disabled
0,1580,464,msiexec.exe,0x5faa3a68,22,2831702212,0,False,2023-03-28 22:04:43.000000 UTC,N/A,Disabled
0,1124,756,audiodg.exe,0x5fb22a08,5,0,0,False,2023-03-28 22:04:21.000000 UTC,N/A,Disabled
0,3260,1880,SearchProtocol,0x5fca2030,7,1,0,False,2023-03-28 22:03:59.000000 UTC,N/A,Disabled
0,3628,2344,chrome.exe,0x60b22b68,15,0,1,False,2023-03-28 22:01:28.000000 UTC,N/A,Disabled
0,4012,464,svchost.exe,0x61723030,7,7143525,0,False,2023-03-28 22:04:57.000000 UTC,N/A,Disabled
0,1568,2344,chrome.exe,0x62922030,16,445,1,False,2023-03-28 21:54:10.000000 UTC,N/A,Disabled
0,2592,2344,chrome.exe,0x62b1a470,10,170,1,False,2023-03-28 21:53:24.000000 UTC,N/A,Disabled
0,3048,3060,FTK Imager.exe,0x634a4ae0,15,313,1,False,2023-03-28 22:05:06.000000 UTC,N/A,Disabled
0,3992,2344,chrome.exe,0x643a47a0,15,257,1,False,2023-03-28 21:53:05.000000 UTC,N/A,Disabled
0,4044,2344,chrome.exe,0x646a3440,6,133,1,False,2023-03-28 21:53:05.000000 UTC,N/A,Disabled
0,200,1244,GoogleCrashHan,0x65431030,5,98,0,False,2023-03-28 21:53:05.000000 UTC,N/A,Disabled
0,3868,464,svchost.exe,0x654a1030,9,323,0,False,2023-03-28 21:52:21.000000 UTC,N/A,Disabled
0,3508,820,taskeng.exe,0x654ab420,4,0,0,False,2023-03-28 21:57:42.000000 UTC,N/A,Disabled
0,3052,2344,chrome.exe,0x65eaa030,14,195,1,False,2023-03-28 21:53:06.000000 UTC,N/A,Disabled
0,1264,464,svchost.exe,0x70eb52c8,19,327,0,False,2023-03-28 21:50:19.000000 UTC,N/A,Disabled
0,888,464,wmpnetwk.exe,0x7d80a030,10,214,0,False,2023-03-28 21:50:55.000000 UTC,N/A,Disabled
0,3828,464,sppsvc.exe,0x7ddcb1c8,4,150,0,False,2023-03-28 21:52:21.000000 UTC,N/A,Disabled
0,476,792,dwm.exe,0x7df2a9d8,3,74,1,False,2023-03-28 21:50:42.000000 UTC,N/A,Disabled
0,816,528,explorer.exe,0x7df2f878,49,1181,1,False,2023-03-28 21:50:42.000000 UTC,N/A,Disabled
0,1768,816,regsvr32.exe,0x7df51030,0,-,1,False,2023-03-28 21:50:42.000000 UTC,2023-03-28 21:50:42.000000 UTC,Disabled
0,2968,756,audiodg.exe,0x7df83030,6,132,0,False,2023-03-28 22:13:04.000000 UTC,N/A,Disabled
0,1880,464,SearchIndexer.,0x7dfae6c8,16,687,0,False,2023-03-28 21:50:48.000000 UTC,N/A,Disabled
0,2916,2344,chrome.exe,0x7dfdfd40,14,227,1,False,2023-03-28 21:54:11.000000 UTC,N/A,Disabled
0,2344,3656,chrome.exe,0x7e4125b8,33,1127,1,False,2023-03-28 21:53:05.000000 UTC,N/A,Disabled
0,660,464,svchost.exe,0x7e422bd0,9,273,0,False,2023-03-28 21:50:19.000000 UTC,N/A,Disabled
0,756,464,svchost.exe,0x7e437868,23,511,0,False,2023-03-28 21:50:19.000000 UTC,N/A,Disabled
