TreeDepth,PID,Process,Args
0,4,System,-
0,100,Registry,-
0,360,smss.exe,\\SystemRoot\\System32\\smss.exe
0,448,csrss.exe,"%SystemRoot%\\system32\\csrss.exe ObjectDirectory=\\Windows SharedSection=1024,12288,512 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16"
0,524,wininit.exe,wininit.exe
0,544,csrss.exe,"%SystemRoot%\\system32\\csrss.exe ObjectDirectory=\\Windows SharedSection=1024,12288,512 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16"
0,624,winlogon.exe,winlogon.exe
0,668,services.exe,C:\\Windows\\system32\\services.exe
0,692,lsass.exe,C:\\Windows\\system32\\lsass.exe
0,772,fontdrvhost.ex,"""fontdrvhost.exe"""
0,780,fontdrvhost.ex,"""fontdrvhost.exe"""
0,860,svchost.exe,C:\\Windows\\system32\\svchost.exe -k DcomLaunch -p
0,928,svchost.exe,C:\\Windows\\system32\\svchost.exe -k RPCSS -p
0,1008,dwm.exe,"""dwm.exe"""
0,1104,svchost.exe,C:\\Windows\\system32\\svchost.exe -k netsvcs -p
0,1144,svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalServiceNoNetwork -p
0,1152,svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalServiceNetworkRestricted -p
0,1240,svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalSystemNetworkRestricted -p
0,1336,svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalService -p
0,1512,svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalService -p
0,1596,svchost.exe,C:\\Windows\\System32\\svchost.exe -k NetworkService -p
0,1608,MemCompression,-
0,1820,svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalServiceNetworkRestricted -p
0,1916,svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalServiceNetworkRestricted -p
0,1924,svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalServiceNetworkRestricted -p
0,1936,svchost.exe,C:\\Windows\\system32\\svchost.exe -k appmodel -p
0,408,spoolsv.exe,C:\\Windows\\System32\\spoolsv.exe
0,516,svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalServiceNoNetworkFirewall -p
