TreeDepth,PID,PPID,ImageFileName,Offset(V),Threads,Handles,SessionId,Wow64,CreateTime,ExitTime,File output
0,1176,484,svchost.exe,0xdaab200,22,-,0,False,2023-03-28 16:27:03.000000 UTC,N/A,Disabled
0,564,484,svchost.exe,0xe5613c0,9,-,0,False,2023-03-28 16:27:02.000000 UTC,N/A,Disabled
0,1320,484,MsMpEng.exe,0x1a213040,31,-,0,False,2023-03-28 16:27:03.000000 UTC,N/A,Disabled
0,3944,564,WSHost.exe,0x1b01d040,6,-,1,False,2023-03-28 16:27:52.000000 UTC,N/A,Disabled
0,344,2348,chrome.exe,0x1b861040,13,-,1,False,2023-03-28 16:36:26.000000 UTC,N/A,Disabled
0,2348,2032,chrome.exe,0x216a2cc0,29,-,1,False,2023-03-28 16:30:40.000000 UTC,N/A,Disabled
0,808,484,svchost.exe,0x2b68b740,20,-,0,False,2023-03-28 16:27:02.000000 UTC,N/A,Disabled
0,3836,564,WWAHost.exe,0x332c4040,32,-,1,False,2023-03-28 16:27:51.000000 UTC,N/A,Disabled
0,768,484,svchost.exe,0x3995c840,48,-,0,False,2023-03-28 16:27:02.000000 UTC,N/A,Disabled
0,340,320,csrss.exe,0x3aca02c0,9,-,0,False,2023-03-28 16:27:02.000000 UTC,N/A,Disabled
0,700,428,dwm.exe,0x40c36040,10,-,1,False,2023-03-28 16:27:02.000000 UTC,N/A,Disabled
0,248,4,smss.exe,0x4187f040,2,-,N/A,False,2023-03-28 16:27:01.000000 UTC,N/A,Disabled
0,1816,484,wmpnetwk.exe,0x44034980,7,-,0,False,2023-03-28 16:29:04.000000 UTC,N/A,Disabled
0,392,320,wininit.exe,0x466dc240,1,-,0,False,2023-03-28 16:27:02.000000 UTC,N/A,Disabled
0,492,392,lsass.exe,0x479250c0,7,-,0,False,2023-03-28 16:27:02.000000 UTC,N/A,Disabled
0,716,484,svchost.exe,0x48604a80,22,-,0,False,2023-03-28 16:27:02.000000 UTC,N/A,Disabled
0,1504,564,WmiPrvSE.exe,0x50147040,4,-,0,False,2023-03-28 16:29:04.000000 UTC,N/A,Disabled
0,608,484,svchost.exe,0x5582dcc0,7,-,0,False,2023-03-28 16:27:02.000000 UTC,N/A,Disabled
0,2876,3744,GoogleCrashHan,0x56530940,4,-,0,False,2023-03-28 16:30:40.000000 UTC,N/A,Disabled
0,3064,2348,chrome.exe,0x58a73640,8,-,1,False,2023-03-28 16:30:40.000000 UTC,N/A,Disabled
0,2168,768,taskhostex.exe,0x5e4ef040,8,-,1,False,2023-03-28 16:27:21.000000 UTC,N/A,Disabled
0,2132,2112,explorer.exe,0x616ba440,56,-,1,False,2023-03-28 16:27:21.000000 UTC,N/A,Disabled
0,3264,3176,iexplore.exe,0x69b70580,17,-,1,False,2023-03-28 16:27:33.000000 UTC,N/A,Disabled
0,2388,2348,chrome.exe,0x7f228180,6,-,1,False,2023-03-28 16:30:40.000000 UTC,N/A,Disabled
0,2808,484,VSSVC.exe,0x7f3b38c0,10,-,0,False,2023-03-28 16:36:18.000000 UTC,N/A,Disabled
0,920,2348,chrome.exe,0x7f44bcc0,10,-,1,False,2023-03-28 16:36:27.000000 UTC,N/A,Disabled
0,3760,768,taskhost.exe,0x7f44fcc0,10,-,0,False,2023-03-28 16:31:03.000000 UTC,N/A,Disabled
0,1336,768,GoogleUpdate.e,0x7f486cc0,2,-,0,False,2023-03-28 16:33:32.000000 UTC,N/A,Disabled
0,1576,2588,SearchFilterHo,0x7f487700,1,-,0,False,2023-03-28 16:34:42.000000 UTC,N/A,Disabled
0,2356,2348,chrome.exe,0x7f4afcc0,13,-,1,False,2023-03-28 16:31:18.000000 UTC,N/A,Disabled
0,1508,768,taskeng.exe,0x7f4e5500,0,-,0,False,2023-03-28 16:33:32.000000 UTC,2023-03-28 16:38:33.000000 UTC,Disabled
0,3324,2348,chrome.exe,0x7f508480,12,-,1,False,2023-03-28 16:31:45.000000 UTC,N/A,Disabled
0,2064,2588,SearchProtocol,0x7f54a8c0,4,-,0,False,2023-03-28 16:30:44.000000 UTC,N/A,Disabled
0,4012,1800,FTK Imager.exe,0x7f87f800,17,-,1,False,2023-03-28 16:36:30.000000 UTC,N/A,Disabled
0,888,484,svchost.exe,0x88c2e040,20,-,0,False,2023-03-28 16:27:03.000000 UTC,N/A,Disabled
0,2588,484,SearchIndexer.,0x9212f400,15,-,0,False,2023-03-28 16:27:21.000000 UTC,N/A,Disabled
0,2116,2348,chrome.exe,0x94446b40,7,-,1,False,2023-03-28 16:31:19.000000 UTC,N/A,Disabled
0,4,0,System,0x974dfa40,96,-,N/A,False,2023-03-28 16:27:01.000000 UTC,N/A,Disabled
0,400,384,csrss.exe,0xa16df040,11,-,1,False,2023-03-28 16:27:02.000000 UTC,N/A,Disabled
0,484,392,services.exe,0xa5bd48c0,5,-,0,False,2023-03-28 16:27:02.000000 UTC,N/A,Disabled
0,544,2132,notepad.exe,0xb2f71400,1,-,1,False,2023-03-28 16:36:21.000000 UTC,N/A,Disabled
0,2940,564,RuntimeBroker.,0xb3ba2780,3,-,1,False,2023-03-28 16:27:24.000000 UTC,N/A,Disabled
0,2900,484,svchost.exe,0xb5152380,3,-,0,False,2023-03-28 16:36:18.000000 UTC,N/A,Disabled
0,3448,564,SettingSyncHos,0xb57e1cc0,11,-,1,False,2023-03-28 16:27:33.000000 UTC,N/A,Disabled
0,2364,484,msiexec.exe,0xb5861cc0,13,-,0,False,2023-03-28 16:36:12.000000 UTC,N/A,Disabled
0,2444,2132,RestoreOptIn.e,0xba569780,0,-,1,False,2023-03-28 16:27:21.000000 UTC,2023-03-28 16:27:24.000000 UTC,Disabled
0,3192,484,NisSrv.exe,0xbb6bc240,6,-,0,False,2023-03-28 16:27:33.000000 UTC,N/A,Disabled
0,1148,484,spoolsv.exe,0xbc2b9040,9,-,0,False,2023-03-28 16:27:03.000000 UTC,N/A,Disabled
0,1008,484,svchost.exe,0xbcce6040,15,-,0,False,2023-03-28 16:27:03.000000 UTC,N/A,Disabled
0,3176,2132,iexplore.exe,0xbd597cc0,11,-,1,False,2023-03-28 16:27:33.000000 UTC,N/A,Disabled
0,1624,2348,chrome.exe,0xbe5b4cc0,11,-,1,False,2023-03-28 16:30:40.000000 UTC,N/A,Disabled
0,3220,2348,chrome.exe,0xc405c7c0,11,-,1,False,2023-03-28 16:30:40.000000 UTC,N/A,Disabled
0,1828,484,svchost.exe,0xc41d9300,14,-,0,False,2023-03-28 16:27:03.000000 UTC,N/A,Disabled
0,1932,484,svchost.exe,0xc49e2300,8,-,0,False,2023-03-28 16:27:04.000000 UTC,N/A,Disabled
0,428,384,winlogon.exe,0xc8b4d040,2,-,1,False,2023-03-28 16:27:02.000000 UTC,N/A,Disabled
0,896,2348,chrome.exe,0xd93e2cc0,0,-,1,False,2023-03-28 16:38:32.000000 UTC,2023-03-28 16:38:32.000000 UTC,Disabled
0,596,716,audiodg.exe,0xda4d5740,4,-,0,False,2023-03-28 16:36:06.000000 UTC,N/A,Disabled
0,3788,2588,SearchFilterHo,0xdc038400,3,-,0,False,2023-03-28 16:46:04.000000 UTC,N/A,Disabled
0,3192,484,NisSrv.exe,0xdc115240,4,-,0,False,2023-03-28 16:27:33.000000 UTC,N/A,Disabled
0,3176,2132,iexplore.exe,0xdc12ccc0,0,-,1,False,2023-03-28 16:27:33.000000 UTC,2023-03-28 16:39:03.000000 UTC,Disabled
0,4072,2588,SearchProtocol,0xdc139140,5,-,0,False,2023-03-28 16:43:31.000000 UTC,N/A,Disabled
